Name,C,N,P,I,Cheated?,Pareto? (N),Categories Won (N),Pareto? (P),Categories Won (P)
david0so,168651,10,9,102,,,,,
easone,35662,10,10,112,,Yes,C,Yes,C
easone,35743,10,10,107,,Yes,(CI),Yes,(CI)
easone,169280,6,4,32,,Yes,"(CI),N(CI)",Yes,(CI)
easone,169441,6,4,30,,Yes,"(CI),N(CI)",Yes,(CI)
easone,186227,6,3,29,,,N,,
easone,186303,6,4,28,,,N,,
easone,202638,6,3,27,,,N,,
easone,210490,6,3,26,,,N,,
easone,35830,10,10,99,Yes,Yes,c(CI),Yes,c(CI)
easone,35932,10,10,101,,Yes,(CI),Yes,(CI)
easone,41376,10,10,95,Yes,Yes,c(CI),Yes,c(CI)
easone,41463,10,10,96,,Yes,(CI),Yes,(CI)
easone,168830,6,4,35,,Yes,"(CI),N(CI)",Yes,"(CI),(CP)"
easone,168869,6,3,33,Yes,Yes,"c(CI),cN(CI)",Yes,c(CI)
easone,168869,6,4,34,,Yes,"(CI),N(CI)",Yes,(CI)
easone,169049,6,4,33,,Yes,"(CI),N(CI)",Yes,(CI)
Hersmunch,106703,6,5,41,,Yes,"(CI),N(CI)",Yes,"(CI),(CP)"
Hersmunch,163453,6,5,36,,Yes,"(CI),N(CI)",Yes,(CI)
Hersmunch,85746,6,6,66,,,N,,
Hersmunch,185645,6,5,31,,,N,,
Hersmunch,129,10,10,148,Hard,Yes,hC,Yes,hC
Hersmunch,55521,10,10,116,Yes,,,,
Hersmunch,58226,10,10,128,,,,,
Hersmunch,59620,10,10,125,,,,,
Hersmunch,85289,6,6,70,,,N,,
Hersmunch,85315,6,6,69,,,N,,
Hersmunch,85395,6,6,67,,,N,,
LongingForRest,215235,6,3,24,,Yes,N(CI),,(IP)
LongingForRest,57132,10,9,92,,Yes,(CI),Yes,"(CI),(CP)"
LongingForRest,135713,6,6,54,,,N,,
LongingForRest,102420,6,6,57,,Yes,"(CI),N(CI)",Yes,(CI)
LongingForRest,75045,9,9,87,,Yes,(CI),Yes,(CI)
LongingForRest,75059,9,9,85,,Yes,(CI),Yes,(CI)
LongingForRest,75119,9,9,83,,Yes,(CI),Yes,(CI)
LongingForRest,89645,10,10,92,,,,,
LongingForRest,89638,10,10,92,,,,,
LongingForRest,89582,10,10,94,,,,,
LongingForRest,182547,6,3,30,,,N,,
LongingForRest,135700,6,6,50,Yes,,cN,,
LongingForRest,57469,9,9,91,,Yes,"(CI),(CN)",Yes,(CI)
LongingForRest,149436,6,6,48,,,N,,
LongingForRest,96967,10,10,79,Yes,,,,
LongingForRest,96969,10,10,78,Yes,,,,
LongingForRest,99486,10,9,74,Yes,,,,
LongingForRest,130137,10,8,48,,,,,
LongingForRest,135082,9,8,47,,,,,
LongingForRest,104194,10,9,72,,,,,
LongingForRest,465387,6,4,23,,Yes,"I,NI",Yes,I
LongingForRest,215120,7,3,24,,Yes,(CI),Yes,"(CI),(IP)C"
LongingForRest,56798,10,9,92,Yes,Yes,c(CI),Yes,"c(CI),c(CP)"
LongingForRest,83670,6,6,63,,Yes,"(CI),NC",Yes,"(CI),(CP)"
LongingForRest,157045,6,3,36,Yes,Yes,"c(CI),cN(CI)",Yes,"c(CI),c(CP)"
LongingForRest,182610,6,3,26,,Yes,"(CI),N(CI)",Yes,(CI)
LongingForRest,182418,6,3,28,,Yes,"(CI),N(CI)",Yes,(CI)
LongingForRest,182354,6,3,31,,,N,Yes,"(CP),c(CIP)"
LongingForRest,102474,6,6,56,,Yes,"(CI),N(CI)",Yes,(CI)
mr_puzzel,107692,10,9,92,,,,,
mr_puzzel,138376,9,8,61,,,,,
mr_puzzel,152981,7,5,60,,,,,
mr_puzzel,107710,9,9,93,,,,,
mr_puzzel,102113,8,8,93,,,,,
mr_puzzel,220607,6,2,31,,,N,Yes,P
mr_puzzel,83457,10,10,136,,,,,
mr_puzzel,137872,7,7,76,,,,,
mr_puzzel,341,10,10,148,Hard,,,,
