Name,C,N,P,I,Cheated?,Records (N),Categories (N),Records (P),Categories (P),prodN,prodP
easone,202,8,8,65,Yes,cC,,cC,,,
easone,211,8,7,63,Yes,,c(CI)*,,"c(CI),c(CP)*",,
easone,226,8,7,62,Yes,,c(CI)*,,c(CI)*,,
easone,233,8,8,91,,C,,C,,,
easone,267,8,7,88,,,,,,,
easone,278,5,4,31,Yes,,c(CI)*,,c(CI)*,,
easone,278,5,4,33,,,"(CI),(CN)*",,"(CI),(CP)*",,
easone,287,5,4,25,Yes,,c(CI)*,,c(CI)*,,
easone,300,5,4,31,,,(CI)*,,(CI)*,,
easone,318,5,2,27,Yes,,,,c(CP)*,,
easone,319,5,2,26,Yes,,,,c(CIP)*,,
easone,335,4,3,31,,,(CN)*,,(CP)*,,
easone,360,3,3,31,Yes,cNC,,,,,
easone,369,3,3,28,Yes,,cN(CI)*,,,,
easone,424,3,3,24,Yes,,cN(CI),c(CI)*,,c(CI)*,cNX,
easone,426,3,3,43,,NC,,,,,
easone,439,5,2,33,,,,,(CP)*,,
easone,455,3,3,40,,,N(CI)*,,,,
easone,488,5,3,17,,,(CI)*,,(CI)*,,
easone,498,4,3,16,,,(CI)*,,(CI)*,,
easone,599,4,3,15,,IC,,IC,,,
easone,660,3,2,30,,,N,,,,
easone,661,3,3,22,,,N,,,,
easone,676,3,3,18,,,N,,,,
easone,743,4,2,19,,,,,,,
easone,746,3,3,17,,,N,,,,
easone,779,4,2,18,,,,,,,
easone,780,3,2,17,,,N,,,,
easone,786,3,2,16,,,N,,,,
easone,811,5,1,19,,,,PC,,,
easone,812,5,1,18,,,,,P(CI)*,,PX
easone,856,3,2,15,,,"IN,NI",,IP,,
anotak,746,8,6,42,,,,,,,
david0so,517,6,4,34,Yes,,,,,,
Hersmunch,240,6,6,63,,,"(CI),(CN)*",,"(CI),(CP)*",,
Hersmunch,1073,4,1,16,,,,PIC,,,
Hersmunch,284,8,5,54,Yes,,,,,,
Hersmunch,306,8,5,56,,,,,,,
Hersmunch,570,4,3,16,,,,,,,
Hersmunch,743,3,2,16,,,N(CI)*,,(CIP)*,,
Hersmunch,1037,4,1,18,,,,,P,,
Hersmunch,1059,4,1,17,,,,,P,,
LongingForRest,824,3,2,15,,"INC,NIC",,IPC,,,
LongingForRest,746,3,2,16,,,N,,,,
LongingForRest,601,3,2,19,,,N(CI)*,,(CIP)*,,
LongingForRest,573,3,2,21,,,N(CI)*,,(CIP)*,,
LongingForRest,647,4,3,15,,,I,,I,,
LongingForRest,938,6,1,20,,,,,P,,
LongingForRest,941,5,1,19,,,,,P,,
LongingForRest,565,4,3,16,,,,,,,
LongingForRest,943,4,1,18,,,,,P,,
LongingForRest,971,4,1,17,,,,,P(CI)*,,
LongingForRest,630,3,2,17,,,N(CI)*,,(CIP)*,NX,
LongingForRest,1088,4,1,16,,,,,PI,,
LongingForRest,602,3,2,18,,,N(CI)*,,(CIP)*,,
LongingForRest,568,3,2,26,,,N(CI)*,,(CIP)*,,
mr_puzzel,288,5,4,32,,,(CI)*,,(CI)*,,
mr_puzzel,598,5,4,17,,,,,,,
mr_puzzel,447,4,3,46,,,,,,,
mr_puzzel,234,5,4,32,Yes,,"c(CI),c(CN)*",,"c(CI),c(CP)*",,
mr_puzzel,309,5,4,28,,,(CI)*,,(CI)*,,
Nooby,793,4,2,20,,,,,,,
